subid,Rating,Notes
sub-80001,,
sub-80003,1,
sub-80009,,
sub-80011,,
sub-80014,1,
sub-80020,1,
sub-80023,,
sub-80024,,
sub-80026,1,
sub-80029,,
sub-80030,,
sub-80036,1,
sub-80037,1,
sub-80039,0,
sub-80042,,
sub-80043,1,
sub-80044,1,
sub-80046,0,
sub-80048,,
sub-80049,,
sub-80050,1,
sub-80053,1,
sub-80054,1,
sub-80058,,
sub-80060,1,
sub-80060b,1,
sub-80061,1,
sub-80062,,
sub-80063,,
sub-80064,1,
sub-80065,0,
sub-80066,0,
sub-80070,1,Check w alex
sub-80070b,0,
sub-80071,1,
sub-80072,1,
sub-80073,1,
sub-80074,1,
sub-80074b,1,
sub-80075,0,Check
sub-80077,1,Check
sub-80078,1,
sub-80079,,
sub-80081,1,
sub-80082,,
sub-80083,1,
sub-80084,1,
sub-80085,1,Check
sub-80086,1,
sub-80087,0,Incomplete
sub-80087b,0,Incomplete
sub-80089,1,
sub-80090,1,
sub-80090b,,
sub-80091,,
sub-80091b,0,
sub-80092,1,
sub-80093,0,
sub-80094,1,
sub-80095,1,
sub-80097,1,
sub-80098,1,
sub-80100,1,
sub-80100b,0,
sub-80101,1,
sub-80103,0,
sub-80104,1,
sub-80105,1,
sub-80106,1,
sub-80106b,1,
sub-80108,1,
sub-80109,,
sub-80111,1,
sub-80111b,,
sub-80112,0,incomplete
sub-80114,1,
sub-80115,1,
sub-80116,0,
sub-80117,1,
sub-80118,,
sub-80120,1,
sub-80123,1,
sub-80124,,
sub-80127,1,
sub-80128,1,
sub-80130,,
sub-80130b,1,
sub-80131,1,
sub-80134,,
sub-80135,1,
sub-80136,0,
sub-80138,0,
sub-80139,0,
sub-80140,1,
sub-80142,,
sub-80143,1,
sub-80145,,
sub-80147,0,Incomplete
sub-80148,0,
sub-80150,,
sub-80152,,
sub-80153,1,
sub-80154,0,
sub-80155,1,Check
sub-80155b,,
sub-80156,1,
sub-80158,1,
sub-80159,0,
sub-80160,1,
sub-80162,0,Incomplete
sub-80163,1,
sub-80163b,,
sub-80164,1,
sub-80165,1,
sub-80166,1,
sub-80170,1,
sub-80172,0,
sub-80173b,1,
sub-80173c,,
sub-80175,1,
sub-80176,1,
sub-80177,1,
sub-80178,1,
sub-80179,1,Check
sub-80180,,
sub-80181,1,
sub-80182,1,
sub-80184,1,
sub-80186b,1,
sub-80188,1,
sub-80188b,,
sub-80191,,
sub-80192,0,
sub-80195,1,
sub-80196,1,
sub-80198,1,
sub-80199,1,
sub-80202,,
sub-80203,,
sub-80204,,
sub-80205,1,
sub-80207,,
sub-80210,1,
sub-80211,1,
sub-80219,1,
sub-80228,1,
